candidate,period,horizon,n,exceedances,mae,rmse,median_ae,bias,point_recall,point_precision,point_fpr,brier,brier_skill,auc,prob_recall,prob_precision,prob_fpr,alarms,interval80_coverage,level_substituted_fraction
hgb_fixed,dev_2024_2025,180,750,99,1.4502757860408861,4.498663255831832,0.9674960167593438,-0.1880762089524341,0.06060606060606061,0.3157894736842105,0.019969278033794162,0.13221718121764156,-0.15396925374983916,0.5493956461698397,0.20202020202020202,0.16666666666666666,0.15360983102918588,120.0,0.764,
v4r,audit_2026,0,234,35,1.080680373484311,2.158357614205549,0.511435240291628,0.1748025051327453,0.45714285714285713,0.5517241379310345,0.06532663316582915,0.09916516586645237,0.22040375848047866,0.8650394831299354,0.7142857142857143,0.5208333333333334,0.11557788944723618,48.0,0.8205128205128205,
naive_previous_lab,audit_2026,0,234,35,1.8008546989697676,2.6122328911423636,1.199999809265135,-0.057264951813934165,0.14285714285714285,0.16129032258064516,0.1306532663316583,,,,,,,,,0.008547008547008548
anchored_q21,audit_2026,0,234,35,1.1612810108457767,2.776795966906466,0.487981200218202,0.37631490985143845,0.6285714285714286,0.5365853658536586,0.09547738693467336,,,,,,,,,0.038461538461538464
anchored_pak,audit_2026,0,234,35,1.2444753255005234,2.2965080783651013,0.6374860604604082,0.14640520674380797,0.5428571428571428,0.4222222222222222,0.1306532663316583,,,,,,,,,0.042735042735042736
v3_saved,audit_2026,0,234,35,1.1726720682577116,2.0522329888004216,0.6589750184672121,0.011668831005062231,0.05714285714285714,0.25,0.03015075376884422,0.11283270788007617,0.11295509652814772,0.8248384781048098,0.4857142857142857,0.5666666666666667,0.06532663316582915,30.0,0.7777777777777778,
v3_refit,audit_2026,0,234,35,1.1172242439202507,2.0450713270451737,0.5670585584322074,0.030524836128996282,0.22857142857142856,0.5714285714285714,0.03015075376884422,0.1050014097839193,0.17452158016822894,0.847954055994257,0.6,0.4772727272727273,0.11557788944723618,44.0,0.8034188034188035,
hgb_fixed,audit_2026,0,234,35,1.1186573843223555,1.9754631228681667,0.6365572938123734,-0.015943828365510358,0.3142857142857143,0.5,0.05527638190954774,0.11370392875701224,0.10610591198579145,0.7635319454414932,0.6571428571428571,0.4423076923076923,0.1457286432160804,52.0,0.7948717948717948,
v4r,audit_2026,60,234,34,1.1940507723059843,1.915622924330621,0.6932834248470146,0.05804986521964829,0.11764705882352941,0.4,0.03,0.11781353327546315,0.05132384881893248,0.7033823529411765,0.4117647058823529,0.30434782608695654,0.16,46.0,0.7863247863247863,
naive_previous_lab,audit_2026,60,234,34,1.7897435807201088,2.6873715261019693,1.199999809265135,0.003418816810744448,0.14705882352941177,0.1724137931034483,0.12,,,,,,,,,0.008547008547008548
anchored_q21,audit_2026,60,234,34,1.329342380455268,2.1695793640170997,0.8429195284843445,0.09455199644999046,0.29411764705882354,0.3333333333333333,0.1,,,,,,,,,0.042735042735042736
anchored_pak,audit_2026,60,234,34,1.4459722481583088,2.324860585920013,0.9502134124437998,0.08015545588145899,0.3235294117647059,0.2972972972972973,0.13,,,,,,,,,0.038461538461538464
v3_saved,audit_2026,60,234,34,1.256785033263417,1.9671756265343188,0.7535857121775633,-0.018656004597591883,0.08823529411764706,0.6,0.01,0.11458370043880618,0.0773316027606955,0.7029411764705882,0.35294117647058826,0.3870967741935484,0.095,31.0,0.7606837606837606,
v3_refit,audit_2026,60,234,34,1.2477774176736514,1.9699900373437953,0.795675638302884,-0.08370071682208766,0.11764705882352941,0.4444444444444444,0.025,0.1148765002023076,0.07497387572388914,0.711764705882353,0.35294117647058826,0.375,0.1,32.0,0.7692307692307693,
hgb_fixed,audit_2026,60,234,34,1.211715339996068,1.9623969406231279,0.7689234657499258,-0.04907724767152196,0.20588235294117646,0.5833333333333334,0.025,0.11904044403470589,0.04144433035818318,0.7138970588235294,0.5882352941176471,0.37735849056603776,0.165,53.0,0.7948717948717948,
v4r,audit_2026,120,234,34,1.3053198468466398,2.055923221024008,0.8097159853329803,0.14111564682649208,0.14705882352941177,0.3333333333333333,0.05,0.1354158115278149,-0.09041590823779888,0.6286764705882353,0.5294117647058824,0.2608695652173913,0.255,69.0,0.7905982905982906,
