period,horizon,candidate,reference,n,mae_delta,mae_delta_95ci,mae_reference,brier_delta,brier_delta_95ci
2025,0,naive_previous_lab,v3_refit,407,0.5907076480747508,"[0.37066600599326466, 0.8382907381291412]",1.094304573554511,,
2025,0,anchored_q21,v3_saved,407,0.045865207056002576,"[-0.02880365359866504, 0.1355690046416702]",1.0741715862751564,,
2025,0,anchored_q21,v3_refit,407,0.025732219776647778,"[-0.06081919625104666, 0.12657722585162615]",1.094304573554511,,
2025,0,anchored_q21,naive_previous_lab,407,-0.5649754282981031,"[-0.8696713322669392, -0.26341620581303005]",1.6850122216292622,,
2025,0,anchored_pak,v3_saved,407,0.07109336951611091,"[-0.040755681284740025, 0.1766117981038646]",1.0741715862751564,,
2025,0,anchored_pak,v3_refit,407,0.0509603822367561,"[-0.05871823097177878, 0.1538221503830381]",1.094304573554511,,
2025,0,anchored_pak,naive_previous_lab,407,-0.5397472658379949,"[-0.8152611308023093, -0.31564414399643104]",1.6850122216292622,,
2025,0,v3_saved,v3_refit,407,-0.020132987279354808,"[-0.03781845304966194, -0.003630112463773922]",1.094304573554511,-0.0010089961640704437,"[-0.0032849086155116954, 0.0010650837161939285]"
2025,0,v3_saved,naive_previous_lab,407,-0.6108406353541058,"[-0.870187137522388, -0.3775920776121214]",1.6850122216292622,,
2025,0,v3_refit,v3_saved,407,0.020132987279354808,"[0.0036301124637738913, 0.03781845304966194]",1.0741715862751564,0.0010089961640704437,"[-0.0010650837161939296, 0.0032849086155116946]"
2025,0,v3_refit,naive_previous_lab,407,-0.5907076480747508,"[-0.8382907381291412, -0.3706660059932647]",1.6850122216292622,,
2025,0,hgb_fixed,v3_saved,407,-0.048297818057356216,"[-0.14313514843011652, 0.04265131010351051]",1.0741715862751564,-0.0031335530044242035,"[-0.016156791510966453, 0.009723756583902782]"
2025,0,hgb_fixed,v3_refit,407,-0.06843080533671102,"[-0.1568081502536782, 0.018166000197905652]",1.094304573554511,-0.004142549168494648,"[-0.017895893473871154, 0.008973287216058546]"
2025,0,hgb_fixed,naive_previous_lab,407,-0.659138453411462,"[-0.9075579497699595, -0.4529539669407488]",1.6850122216292622,,
2025,60,v4r,v3_saved,409,0.009199893406155027,"[-0.062035395510440246, 0.08691074669917552]",1.1638925840546643,0.005489915304918809,"[-0.004976731629826988, 0.016562978805132873]"
2025,60,v4r,v3_refit,409,-0.03509065708330863,"[-0.11472128578919072, 0.051222482265434355]",1.2081831345441278,0.003217028182485724,"[-0.0096799078935308, 0.01612071373831866]"
2025,60,v4r,naive_previous_lab,409,-0.490232648086557,"[-0.7702573088146611, -0.2625912341235068]",1.6633251255473764,,
2025,60,naive_previous_lab,v3_saved,409,0.499432541492712,"[0.31375203287237013, 0.7486014701059548]",1.1638925840546643,,
2025,60,naive_previous_lab,v3_refit,409,0.45514199100324837,"[0.27378782613211494, 0.6951652347379258]",1.2081831345441278,,
2025,60,anchored_q21,v3_saved,409,0.25183748529350075,"[0.11408478843577596, 0.3973965010479978]",1.1638925840546643,,
2025,60,anchored_q21,v3_refit,409,0.2075469348040371,"[0.06026600980637055, 0.3607006308721992]",1.2081831345441278,,
2025,60,anchored_q21,naive_previous_lab,409,-0.2475950561992112,"[-0.5489209164018198, 0.0196969371765678]",1.6633251255473764,,
2025,60,anchored_pak,v3_saved,409,0.04890304683210987,"[-0.025510420782905264, 0.13350819858304558]",1.1638925840546643,,
2025,60,anchored_pak,v3_refit,409,0.004612496342646215,"[-0.06828611196080153, 0.08397000322384167]",1.2081831345441278,,
2025,60,anchored_pak,naive_previous_lab,409,-0.4505294946606021,"[-0.7230656138273567, -0.22348632289940004]",1.6633251255473764,,
2025,60,v3_saved,v3_refit,409,-0.044290550489463655,"[-0.06848624984601455, -0.020909930314205797]",1.2081831345441278,-0.0022728871224330844,"[-0.008023145764109429, 0.0029134056496506544]"
2025,60,v3_saved,naive_previous_lab,409,-0.499432541492712,"[-0.7486014701059552, -0.3137520328723702]",1.6633251255473764,,
