period,horizon,candidate,reference,n,mae_delta,mae_delta_95ci,mae_reference,brier_delta,brier_delta_95ci
2025,60,v3_refit,v3_saved,409,0.044290550489463655,"[0.02090993031420579, 0.06848624984601455]",1.1638925840546643,0.0022728871224330844,"[-0.002913405649650658, 0.008023145764109427]"
2025,60,v3_refit,naive_previous_lab,409,-0.45514199100324837,"[-0.6951652347379259, -0.27378782613211494]",1.6633251255473764,,
2025,60,hgb_fixed,v3_saved,409,-0.023220087516240957,"[-0.09121360210413448, 0.04558876447537231]",1.1638925840546643,-0.00019186655319312015,"[-0.009745405341605059, 0.00881231470800944]"
2025,60,hgb_fixed,v3_refit,409,-0.06751063800570462,"[-0.13555873336045268, 0.0016970162739996394]",1.2081831345441278,-0.002464753675626204,"[-0.011985390834069944, 0.006562396914947785]"
2025,60,hgb_fixed,naive_previous_lab,409,-0.5226526290089529,"[-0.8003962087675955, -0.3093281313467698]",1.6633251255473764,,
2025,120,v4r,v3_saved,410,-0.02312708872632592,"[-0.09340827518691125, 0.04260942332233051]",1.2806451644330448,0.0009691999421069073,"[-0.007022740859905223, 0.00833079521041276]"
2025,120,v4r,v3_refit,410,-0.040513623174805044,"[-0.1130938784662668, 0.029131706015546762]",1.2980316988815241,0.0014785321597564995,"[-0.007179450860981231, 0.00957153606821239]"
2025,120,v4r,naive_previous_lab,410,-0.3429696798593893,"[-0.5087860878469721, -0.1918707335941416]",1.6004877555661086,,
2025,120,naive_previous_lab,v3_saved,410,0.31984259113306346,"[0.18194243622839643, 0.4750743135172695]",1.2806451644330448,,
2025,120,naive_previous_lab,v3_refit,410,0.3024560566845843,"[0.17166254385419744, 0.4501543552207955]",1.2980316988815241,,
2025,120,anchored_q21,v3_saved,410,0.34609883834918737,"[0.18399670005760038, 0.526849418836898]",1.2806451644330448,,
2025,120,anchored_q21,v3_refit,410,0.32871230390070827,"[0.16700522663758788, 0.5156184284755597]",1.2980316988815241,,
2025,120,anchored_q21,naive_previous_lab,410,0.026256247216124,"[-0.21778541770200174, 0.28751185045982053]",1.6004877555661086,,
2025,120,anchored_pak,v3_saved,410,0.06417936527874805,"[-0.016562599912362887, 0.15983668734997764]",1.2806451644330448,,
2025,120,anchored_pak,v3_refit,410,0.046792830830268924,"[-0.0331928365937202, 0.14275913427141657]",1.2980316988815241,,
2025,120,anchored_pak,naive_previous_lab,410,-0.2556632258543154,"[-0.4386808869386405, -0.08437150602775907]",1.6004877555661086,,
2025,120,v3_saved,v3_refit,410,-0.017386534448479124,"[-0.029409442435202913, -0.004891077683300878]",1.2980316988815241,0.0005093322176495917,"[-0.0044139804045469, 0.004933822241255792]"
2025,120,v3_saved,naive_previous_lab,410,-0.31984259113306346,"[-0.4750743135172696, -0.18194243622839643]",1.6004877555661086,,
2025,120,v3_refit,v3_saved,410,0.017386534448479124,"[0.004891077683300869, 0.029409442435202906]",1.2806451644330448,-0.0005093322176495917,"[-0.004933822241255797, 0.004413980404546897]"
2025,120,v3_refit,naive_previous_lab,410,-0.3024560566845843,"[-0.45015435522079555, -0.17166254385419744]",1.6004877555661086,,
2025,120,hgb_fixed,v3_saved,410,-0.0370298552541717,"[-0.11127814420279382, 0.04404089380643709]",1.2806451644330448,-0.00210885324287812,"[-0.012187768955389576, 0.008779891796053589]"
2025,120,hgb_fixed,v3_refit,410,-0.05441638970265082,"[-0.13221457373587567, 0.03128711309372455]",1.2980316988815241,-0.0015995210252285287,"[-0.01083369961563288, 0.00737260300997046]"
2025,120,hgb_fixed,naive_previous_lab,410,-0.3568724463872351,"[-0.5387577618051143, -0.18491735600914003]",1.6004877555661086,,
2025,180,v4r,v3_saved,411,0.020514068376148248,"[-0.06605541053868857, 0.10118558824984411]",1.5611360299873012,0.004185881228375252,"[-0.0040130793763456275, 0.01256247384459479]"
2025,180,v4r,v3_refit,411,-0.004811510641469806,"[-0.08147564926869619, 0.06830695767946174]",1.5864616090049193,0.00039044834159166993,"[-0.007743323899180963, 0.00809207342067304]"
2025,180,v4r,naive_previous_lab,411,-0.2706612842551041,"[-0.4328961488741816, -0.12439745472051629]",1.8523113826185538,,
2025,180,naive_previous_lab,v3_saved,411,0.2911753526312523,"[0.16452613348763126, 0.4340571082848918]",1.5611360299873012,,
2025,180,naive_previous_lab,v3_refit,411,0.26584977361363427,"[0.1366431097298992, 0.413965137952656]",1.5864616090049193,,
2025,180,anchored_q21,v3_saved,411,0.6018265501169325,"[0.35270620245542816, 0.8786721463462116]",1.5611360299873012,,
2025,180,anchored_q21,v3_refit,411,0.5765009710993144,"[0.3414215198018803, 0.8342732101975359]",1.5864616090049193,,
2025,180,anchored_q21,naive_previous_lab,411,0.31065119748568015,"[0.019190606636345614, 0.6143786122955184]",1.8523113826185538,,
2025,180,anchored_pak,v3_saved,411,0.16106991639628698,"[0.037709022053032254, 0.28969414786657677]",1.5611360299873012,,
2025,180,anchored_pak,v3_refit,411,0.1357443373786689,"[0.021016210621339498, 0.2566521934722521]",1.5864616090049193,,
2025,180,anchored_pak,naive_previous_lab,411,-0.1301054362349654,"[-0.3094188730225631, 0.03307064402508708]",1.8523113826185538,,
2025,180,v3_saved,v3_refit,411,-0.025325579017618054,"[-0.043883760159487036, -0.007185749237331877]",1.5864616090049193,-0.0037954328867835815,"[-0.007833107094351236, -1.4968024711351393e-05]"
2025,180,v3_saved,naive_previous_lab,411,-0.2911753526312523,"[-0.43405710828489197, -0.16452613348763126]",1.8523113826185538,,
2025,180,v3_refit,v3_saved,411,0.025325579017618054,"[0.007185749237331863, 0.043883760159487036]",1.5611360299873012,0.0037954328867835815,"[1.4968024711348276e-05, 0.007833107094351236]"
2025,180,v3_refit,naive_previous_lab,411,-0.26584977361363427,"[-0.413965137952656, -0.1366431097298992]",1.8523113826185538,,
