month,horizon,cost_ratio,policy,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2025-08,0,20,residual_bayes,31,5,4,14,1,12,0.8,0.2222222222222222,0.5384615384615384,0.5806451612903226,34.0,109.6774193548387
2025-09,0,20,residual_bayes,32,7,6,24,1,1,0.8571428571428571,0.2,0.96,0.9375,44.0,137.5
2025-10,0,20,residual_bayes,44,13,13,27,0,4,1.0,0.325,0.8709677419354839,0.9090909090909091,27.0,61.36363636363637
2025-11,0,20,residual_bayes,41,9,9,30,0,2,1.0,0.23076923076923078,0.9375,0.9512195121951219,30.0,73.17073170731707
2025-12,0,20,residual_bayes,36,5,5,22,0,9,1.0,0.18518518518518517,0.7096774193548387,0.75,22.0,61.111111111111114
2025-01,0,20,always_alarm,31,1,1,30,0,0,1.0,0.03225806451612903,1.0,1.0,30.0,96.7741935483871
2025-02,0,20,always_alarm,29,8,8,21,0,0,1.0,0.27586206896551724,1.0,1.0,21.0,72.41379310344827
2025-03,0,20,always_alarm,33,12,12,21,0,0,1.0,0.36363636363636365,1.0,1.0,21.0,63.63636363636363
2025-04,0,20,always_alarm,31,5,5,26,0,0,1.0,0.16129032258064516,1.0,1.0,26.0,83.87096774193549
2025-05,0,20,always_alarm,34,4,4,30,0,0,1.0,0.11764705882352941,1.0,1.0,30.0,88.23529411764706
2025-06,0,20,always_alarm,32,2,2,30,0,0,1.0,0.0625,1.0,1.0,30.0,93.75
2025-07,0,20,always_alarm,33,1,1,32,0,0,1.0,0.030303030303030304,1.0,1.0,32.0,96.96969696969697
2025-08,0,20,always_alarm,31,5,5,26,0,0,1.0,0.16129032258064516,1.0,1.0,26.0,83.87096774193549
2025-09,0,20,always_alarm,32,7,7,25,0,0,1.0,0.21875,1.0,1.0,25.0,78.125
2025-10,0,20,always_alarm,44,13,13,31,0,0,1.0,0.29545454545454547,1.0,1.0,31.0,70.45454545454545
2025-11,0,20,always_alarm,41,9,9,32,0,0,1.0,0.21951219512195122,1.0,1.0,32.0,78.04878048780488
2025-12,0,20,always_alarm,36,5,5,31,0,0,1.0,0.1388888888888889,1.0,1.0,31.0,86.11111111111111
2025-01,0,20,never_alarm,31,1,0,0,1,30,0.0,,0.0,0.0,20.0,64.51612903225806
2025-02,0,20,never_alarm,29,8,0,0,8,21,0.0,,0.0,0.0,160.0,551.7241379310345
2025-03,0,20,never_alarm,33,12,0,0,12,21,0.0,,0.0,0.0,240.0,727.2727272727273
2025-04,0,20,never_alarm,31,5,0,0,5,26,0.0,,0.0,0.0,100.0,322.5806451612903
2025-05,0,20,never_alarm,34,4,0,0,4,30,0.0,,0.0,0.0,80.0,235.29411764705884
2025-06,0,20,never_alarm,32,2,0,0,2,30,0.0,,0.0,0.0,40.0,125.0
2025-07,0,20,never_alarm,33,1,0,0,1,32,0.0,,0.0,0.0,20.0,60.60606060606061
2025-08,0,20,never_alarm,31,5,0,0,5,26,0.0,,0.0,0.0,100.0,322.5806451612903
2025-09,0,20,never_alarm,32,7,0,0,7,25,0.0,,0.0,0.0,140.0,437.5
2025-10,0,20,never_alarm,44,13,0,0,13,31,0.0,,0.0,0.0,260.0,590.9090909090909
2025-11,0,20,never_alarm,41,9,0,0,9,32,0.0,,0.0,0.0,180.0,439.0243902439025
2025-12,0,20,never_alarm,36,5,0,0,5,31,0.0,,0.0,0.0,100.0,277.77777777777777
2025-01,0,50,logistic_empirical,31,1,1,30,0,0,1.0,0.03225806451612903,1.0,1.0,30.0,96.7741935483871
2025-02,0,50,logistic_empirical,29,8,8,21,0,0,1.0,0.27586206896551724,1.0,1.0,21.0,72.41379310344827
2025-03,0,50,logistic_empirical,33,12,11,20,1,1,0.9166666666666666,0.3548387096774194,0.9523809523809523,0.9393939393939394,70.0,212.12121212121212
2025-04,0,50,logistic_empirical,31,5,5,26,0,0,1.0,0.16129032258064516,1.0,1.0,26.0,83.87096774193549
2025-05,0,50,logistic_empirical,34,4,4,30,0,0,1.0,0.11764705882352941,1.0,1.0,30.0,88.23529411764706
2025-06,0,50,logistic_empirical,32,2,2,30,0,0,1.0,0.0625,1.0,1.0,30.0,93.75
2025-07,0,50,logistic_empirical,33,1,1,32,0,0,1.0,0.030303030303030304,1.0,1.0,32.0,96.96969696969697
2025-08,0,50,logistic_empirical,31,5,4,26,1,0,0.8,0.13333333333333333,1.0,0.967741935483871,76.0,245.16129032258064
2025-09,0,50,logistic_empirical,32,7,7,25,0,0,1.0,0.21875,1.0,1.0,25.0,78.125
2025-10,0,50,logistic_empirical,44,13,13,31,0,0,1.0,0.29545454545454547,1.0,1.0,31.0,70.45454545454545
2025-11,0,50,logistic_empirical,41,9,9,32,0,0,1.0,0.21951219512195122,1.0,1.0,32.0,78.04878048780488
2025-12,0,50,logistic_empirical,36,5,5,31,0,0,1.0,0.1388888888888889,1.0,1.0,31.0,86.11111111111111
