year,horizon,cost_ratio,policy,threshold,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2026,0,1,logistic_bayes,0.5,235,35,0,4,35,196,0.0,0.0,0.02,0.01702127659574468,39.0,16.595744680851062
2026,0,1,logistic_fixed_030,0.3,235,35,7,7,28,193,0.2,0.5,0.035,0.059574468085106386,35.0,14.893617021276595
2026,0,1,residual_bayes,0.5,235,35,5,6,30,194,0.14285714285714285,0.45454545454545453,0.03,0.04680851063829787,36.0,15.319148936170212
2026,0,1,always_alarm,0.0,235,35,35,200,0,0,1.0,0.14893617021276595,1.0,1.0,200.0,85.1063829787234
2026,0,1,never_alarm,2.0,235,35,0,0,35,200,0.0,,0.0,0.0,35.0,14.893617021276595
2026,0,1,active_runtime,0.25,235,35,19,20,16,180,0.5428571428571428,0.48717948717948717,0.1,0.16595744680851063,36.0,15.319148936170212
2026,0,1,active_bayes,0.5,235,35,3,6,32,194,0.08571428571428572,0.3333333333333333,0.03,0.03829787234042553,38.0,16.170212765957448
2026,0,2,logistic_empirical,0.2734948135175814,235,35,14,10,21,190,0.4,0.5833333333333334,0.05,0.10212765957446808,52.0,22.127659574468083
2026,0,2,logistic_bayes,0.3333333333333333,235,35,4,6,31,194,0.11428571428571428,0.4,0.03,0.0425531914893617,68.0,28.936170212765955
2026,0,2,logistic_fixed_030,0.3,235,35,7,7,28,193,0.2,0.5,0.035,0.059574468085106386,63.0,26.80851063829787
2026,0,2,residual_bayes,0.3333333333333333,235,35,15,11,20,189,0.42857142857142855,0.5769230769230769,0.055,0.11063829787234042,51.0,21.70212765957447
2026,0,2,always_alarm,0.0,235,35,35,200,0,0,1.0,0.14893617021276595,1.0,1.0,200.0,85.1063829787234
2026,0,2,never_alarm,2.0,235,35,0,0,35,200,0.0,,0.0,0.0,70.0,29.78723404255319
2026,0,2,active_runtime,0.25,235,35,19,20,16,180,0.5428571428571428,0.48717948717948717,0.1,0.16595744680851063,52.0,22.127659574468083
2026,0,2,active_bayes,0.3333333333333333,235,35,15,11,20,189,0.42857142857142855,0.5769230769230769,0.055,0.11063829787234042,51.0,21.70212765957447
2026,0,5,logistic_empirical,0.19287855341100044,235,35,27,45,8,155,0.7714285714285715,0.375,0.225,0.30638297872340425,85.0,36.17021276595745
2026,0,5,logistic_bayes,0.16666666666666666,235,35,31,69,4,131,0.8857142857142857,0.31,0.345,0.425531914893617,89.0,37.87234042553192
2026,0,5,logistic_fixed_030,0.3,235,35,7,7,28,193,0.2,0.5,0.035,0.059574468085106386,147.0,62.5531914893617
2026,0,5,residual_bayes,0.16666666666666666,235,35,26,43,9,157,0.7428571428571429,0.37681159420289856,0.215,0.2936170212765957,88.0,37.4468085106383
2026,0,5,always_alarm,0.0,235,35,35,200,0,0,1.0,0.14893617021276595,1.0,1.0,200.0,85.1063829787234
2026,0,5,never_alarm,2.0,235,35,0,0,35,200,0.0,,0.0,0.0,175.0,74.46808510638297
2026,0,5,active_runtime,0.25,235,35,19,20,16,180,0.5428571428571428,0.48717948717948717,0.1,0.16595744680851063,100.0,42.5531914893617
2026,0,5,active_bayes,0.16666666666666666,235,35,25,42,10,158,0.7142857142857143,0.373134328358209,0.21,0.2851063829787234,92.0,39.148936170212764
2026,0,10,logistic_empirical,0.19287855341100044,235,35,27,45,8,155,0.7714285714285715,0.375,0.225,0.30638297872340425,125.0,53.191489361702125
2026,0,10,logistic_bayes,0.09090909090909091,235,35,34,155,1,45,0.9714285714285714,0.17989417989417988,0.775,0.8042553191489362,165.0,70.2127659574468
2026,0,10,logistic_fixed_030,0.3,235,35,7,7,28,193,0.2,0.5,0.035,0.059574468085106386,287.0,122.1276595744681
2026,0,10,residual_bayes,0.09090909090909091,235,35,32,106,3,94,0.9142857142857143,0.2318840579710145,0.53,0.5872340425531914,136.0,57.87234042553191
2026,0,10,always_alarm,0.0,235,35,35,200,0,0,1.0,0.14893617021276595,1.0,1.0,200.0,85.1063829787234
2026,0,10,never_alarm,2.0,235,35,0,0,35,200,0.0,,0.0,0.0,350.0,148.93617021276594
2026,0,10,active_runtime,0.25,235,35,19,20,16,180,0.5428571428571428,0.48717948717948717,0.1,0.16595744680851063,180.0,76.59574468085107
2026,0,10,active_bayes,0.09090909090909091,235,35,32,103,3,97,0.9142857142857143,0.23703703703703705,0.515,0.574468085106383,133.0,56.59574468085107
2026,0,20,logistic_empirical,0.09642163479361295,235,35,34,148,1,52,0.9714285714285714,0.18681318681318682,0.74,0.774468085106383,168.0,71.48936170212767
2026,0,20,logistic_bayes,0.047619047619047616,235,35,35,178,0,22,1.0,0.1643192488262911,0.89,0.9063829787234042,178.0,75.74468085106383
